anneemois,num_poste,nom_poste,longitude,latitude,valeur_tn,valeur_tx,valeur_rr
196006,266136001,PERPIGNAN,2.873,42.737,17.9,26.2,41.6
196506,266136001,PERPIGNAN,2.873,42.737,16.4,25.5,9.8
197006,266136001,PERPIGNAN,2.873,42.737,17.4,25.7,27.9
197506,266136001,PERPIGNAN,2.873,42.737,16.2,24.6,44.4
198006,266136001,PERPIGNAN,2.873,42.737,14.7,23.8,15.6
198506,266136001,PERPIGNAN,2.873,42.737,15.7,24.3,29.6
199006,266136001,PERPIGNAN,2.873,42.737,16,25.5,36.5
199506,266136001,PERPIGNAN,2.873,42.737,16.3,25.7,7.3
200006,266136001,PERPIGNAN,2.873,42.737,16.9,25.6,82.2
200506,266136001,PERPIGNAN,2.873,42.737,18.6,28.3,4.6
201006,266136001,PERPIGNAN,2.873,42.737,16.6,26.5,16.6
201506,266136001,PERPIGNAN,2.873,42.737,18.8,28.9,35.6
196006,129075001,BREST-GUIPAVAS,-4.383,48.45,11.6,20,55.7
196506,129075001,BREST-GUIPAVAS,-4.383,48.45,10.4,16.8,67
197006,129075001,BREST-GUIPAVAS,-4.383,48.45,11.8,20.3,56.3
197506,129075001,BREST-GUIPAVAS,-4.383,48.45,10,19.5,30.4
198006,129075001,BREST-GUIPAVAS,-4.383,48.45,10.9,17,127.8
198506,129075001,BREST-GUIPAVAS,-4.383,48.45,10.5,17.2,39.6
199006,129075001,BREST-GUIPAVAS,-4.383,48.45,10.7,17.3,95.9
199506,129075001,BREST-GUIPAVAS,-4.383,48.45,11,18.3,22.1
200006,129075001,BREST-GUIPAVAS,-4.383,48.45,11.9,19.3,40.6
200506,129075001,BREST-GUIPAVAS,-4.383,48.45,12.3,20.6,58
201006,129075001,BREST-GUIPAVAS,-4.383,48.45,11.1,19.9,42.8
201506,129075001,BREST-GUIPAVAS,-4.383,48.45,10.9,19.7,13.2
196006,164189001,SOCOA,-1.687,43.395,15,23.1,117.6
196506,164189001,SOCOA,-1.687,43.395,13.2,20,60.1
197006,164189001,SOCOA,-1.687,43.395,15.1,22.2,81.3
197506,164189001,SOCOA,-1.687,43.395,14.1,21.1,34
198006,164189001,SOCOA,-1.687,43.395,12.8,20.5,116.9
198506,164189001,SOCOA,-1.687,43.395,14,21.9,86.7
199006,164189001,SOCOA,-1.687,43.395,14.8,21.6,133.1
199506,164189001,SOCOA,-1.687,43.395,14.1,21.9,25.5
200006,164189001,SOCOA,-1.687,43.395,15.5,23.5,92.8
200506,164189001,SOCOA,-1.687,43.395,16.3,24.8,21
201006,164189001,SOCOA,-1.687,43.395,14.5,21.4,121.2
201506,164189001,SOCOA,-1.687,43.395,15.9,23.6,112.8
196006,211076001,CASTELNAUDARY,1.949,43.305,14.7,26.1,54.4
196506,211076001,CASTELNAUDARY,1.949,43.305,13.8,24.7,28.6
197006,211076001,CASTELNAUDARY,1.949,43.305,14.8,25.3,54.3
197506,211076001,CASTELNAUDARY,1.949,43.305,13,23.5,60.3
198006,211076001,CASTELNAUDARY,1.949,43.305,11.7,22.3,52.6
198506,211076001,CASTELNAUDARY,1.949,43.305,13.1,23.6,67.8
199006,211076001,CASTELNAUDARY,1.949,43.305,14.1,24.5,41.5
199506,211076001,CASTELNAUDARY,1.949,43.305,13,24.8,35.8
200006,211076001,CASTELNAUDARY,1.949,43.305,15,24.9,124.1
200506,211076001,CASTELNAUDARY,1.949,43.305,16.2,28.6,21.6
201006,211076001,CASTELNAUDARY,1.949,43.305,14.3,25.2,116.5
201506,211076001,CASTELNAUDARY,1.949,43.305,16.2,29.2,30.6
