anneemois,num_poste,nom_poste,longitude,latitude,valeur_tn,valeur_tx,valeur_rr
197501,164189001,SOCOA,-1.687,43.395,7.4,14.2,88.9
197502,164189001,SOCOA,-1.687,43.395,7,15.1,25.9
197503,164189001,SOCOA,-1.687,43.395,6.1,12.3,260.3
197504,164189001,SOCOA,-1.687,43.395,8.2,14.2,132.3
197505,164189001,SOCOA,-1.687,43.395,10.2,16.8,162.8
197506,164189001,SOCOA,-1.687,43.395,14.1,21.1,34
197507,164189001,SOCOA,-1.687,43.395,15.5,24.9,4.3
197508,164189001,SOCOA,-1.687,43.395,17.1,25.1,85.3
197509,164189001,SOCOA,-1.687,43.395,14.2,22.5,150.1
197510,164189001,SOCOA,-1.687,43.395,11.2,20.3,101.1
197511,164189001,SOCOA,-1.687,43.395,6.7,15.1,348.4
197512,164189001,SOCOA,-1.687,43.395,3.4,9.1,83.5
